,accuracy,mean_avg_prec,rot_accuracy,rot_mean_avg_prec,primary_cap_kernel_size,n_channels,lam_recon,first_layer_kernel_size,dim_sub_capsule,dim_primary_capsule,conv_layer_filters,NUM_EPOCHS,INIT_LR,model_path
20,0.90969,0.84778,0.34251,0.37395,9.0,1.0,0.04,9.0,8.0,8.0,256.0,10.0,0.003,results/ModelNet10_out_of_box_acc_090969_map_084778
13,0.90198,0.83673,0.3293,0.35308,9.0,2.0,0.04,9.0,16.0,8.0,128.0,10.0,0.003,results/ModelNet10_base_model_acc_090198_map_083673
19,0.89317,0.82704,0.32709,0.34672,9.0,3.0,0.04,9.0,16.0,4.0,128.0,10.0,0.003,results/ModelNet10_base_model_acc_089317_map_082704
21,0.89207,0.82522,0.3326,0.3536,9.0,2.0,0.04,9.0,16.0,4.0,128.0,10.0,0.003,results/ModelNet10_base_model_acc_089207_map_082522
3,0.88656,0.82756,,,9.0,4.0,0.04,9.0,8.0,8.0,48.0,10.0,0.003,results/ModelNet10_base_model_acc_088656_map_082756
4,0.88436,0.82462,,,9.0,4.0,0.04,9.0,8.0,4.0,48.0,10.0,0.003,results/ModelNet10_base_model_acc_088436_map_082462
8,0.87996,0.81304,,,9.0,4.0,0.04,9.0,16.0,8.0,48.0,10.0,0.003,results/ModelNet10_base_model_acc_087996_map_081304
18,0.87885,0.81921,,,9.0,4.0,0.04,9.0,8.0,8.0,24.0,10.0,0.003,results/ModelNet10_base_model_acc_087885_map_081921
6,0.87775,0.80771,,,9.0,4.0,0.04,9.0,16.0,8.0,24.0,10.0,0.003,results/ModelNet10_base_model_acc_087775_map_080771
16,0.87775,0.8039,,,7.0,4.0,0.04,9.0,16.0,8.0,24.0,10.0,0.003,results/ModelNet10_base_model_acc_087775_map_08039
10,0.87445,0.81544,,,9.0,4.0,0.04,9.0,16.0,4.0,24.0,10.0,0.003,results/ModelNet10_base_model_acc_087445_map_081544
9,0.87225,0.80079,0.31938,0.3286,9.0,3.0,0.04,9.0,16.0,8.0,128.0,10.0,0.003,results/ModelNet10_base_model_acc_087225_map_080079
15,0.87115,0.81003,,,9.0,4.0,0.04,9.0,16.0,4.0,48.0,10.0,0.003,results/ModelNet10_base_model_acc_087115_map_081003
1,0.85683,0.79138,,,9.0,4.0,0.04,9.0,8.0,4.0,24.0,10.0,0.003,results/ModelNet10_base_model_acc_085683_map_079138
0,0.85242,0.76423,,,7.0,4.0,0.04,9.0,16.0,4.0,48.0,10.0,0.003,results/ModelNet10_base_model_acc_085242_map_076423
14,0.85022,0.75254,,,7.0,4.0,0.04,9.0,8.0,8.0,24.0,10.0,0.003,results/ModelNet10_base_model_acc_085022_map_075254
22,0.85022,0.73431,,,7.0,4.0,0.04,9.0,8.0,8.0,48.0,10.0,0.003,results/ModelNet10_base_model_acc_085022_map_073431
5,0.83921,0.75976,,,9.0,4.0,0.04,9.0,16.0,8.0,48.0,2.0,0.003,results/ModelNet10_base_model_acc_083921_map_075976
17,0.8348,0.74217,,,7.0,4.0,0.04,9.0,8.0,4.0,48.0,10.0,0.003,results/ModelNet10_base_model_acc_08348_map_074217
12,0.8304,0.72242,,,7.0,4.0,0.04,9.0,16.0,4.0,24.0,10.0,0.003,results/ModelNet10_base_model_acc_08304_map_072242
7,0.72467,0.59002,,,7.0,4.0,0.04,9.0,8.0,4.0,24.0,10.0,0.003,results/ModelNet10_base_model_acc_072467_map_059002
11,0.11013,0.19332,,,7.0,4.0,0.04,9.0,16.0,8.0,48.0,10.0,0.003,results/ModelNet10_base_model_acc_011013_map_019332
2,0.09471,0.19332,0.09471,0.19332,9.0,32.0,0.04,9.0,16.0,8.0,256.0,10.0,0.003,results/ModelNet10_out_of_box_same_settings_acc_009471_map_019332
