accuracy,090969
mean_avg_prec,084778
rot_accuracy,034251
rot_mean_avg_prec,037395
INIT_LR,0.003
lam_recon,0.04
NUM_EPOCHS,10
dim_sub_capsule,8
dim_primary_capsule,8
n_channels,1
primary_cap_kernel_size,9
first_layer_kernel_size,9
conv_layer_filters,256
